66.249.82.167 - - [27/Feb/2021:05:30:13 +0000] "GET /dophyvn/images/cart.png HTTP/1.1" 404 155
66.249.82.167 - - [27/Feb/2021:05:30:13 +0000] "GET /dophyvn/images/Hat%20giong%20xa%20lach%20ria%20tim.jpg HTTP/1.1" 404 186
66.249.82.169 - - [27/Feb/2021:05:30:13 +0000] "GET /dophyvn/images/May-bom-nuoc-ho-ca-lifetech-ap3500.jpg HTTP/1.1" 404 185
66.249.82.164 - - [27/Feb/2021:05:30:13 +0000] "GET /dophyvn/images/hat%20giong%20rau%20cai%20thia%20cao%20san.jpg HTTP/1.1" 404 193
66.249.82.169 - - [27/Feb/2021:05:30:13 +0000] "GET /dophyvn/images/logo.jpg HTTP/1.1" 404 155
66.249.82.164 - - [27/Feb/2021:05:30:13 +0000] "GET /dophyvn/images/o%20cam%20dien%20tu%20hen%20gio%20tat%20mo.jpg HTTP/1.1" 404 193
66.249.82.169 - - [27/Feb/2021:05:30:13 +0000] "GET /dophyvn/images/bo%20dung%20cu%20pha%20dung%20dich%20thuy%20canh.jpg HTTP/1.1" 404 199
66.249.82.167 - - [27/Feb/2021:05:30:13 +0000] "GET /dophyvn/template/web/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 160409
66.249.82.167 - - [27/Feb/2021:05:30:13 +0000] "GET /dophyvn/images/thuy-canh-nho-giot-tui-pe-trong-dua-luoi.jpg HTTP/1.1" 404 191
66.249.82.167 - - [27/Feb/2021:05:30:13 +0000] "GET /dophyvn/images/thuoc-duong-hoa-long-life-13.jpg HTTP/1.1" 404 179
66.249.82.164 - - [27/Feb/2021:05:30:13 +0000] "GET /dophyvn/template/web/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 81090
66.249.82.164 - - [27/Feb/2021:05:30:13 +0000] "GET /dophyvn/template/web/jquery/jquery.min.js HTTP/1.1" 200 89478
66.249.82.164 - - [27/Feb/2021:05:30:13 +0000] "GET /dophyvn/bot-thuy-canh-tc-mobi/ HTTP/1.1" 200 36605
66.249.82.167 - - [27/Feb/2021:05:30:13 +0000] "GET /dophyvn/template/web/css/shop-homepage.css HTTP/1.1" 200 9879
66.249.82.169 - - [27/Feb/2021:05:30:13 +0000] "GET /dophyvn/template/web/jquery/serializeObject.js HTTP/1.1" 200 1767
66.249.82.164 - - [27/Feb/2021:05:30:13 +0000] "GET /dophyvn/images/thuy-canh-nho-giot-tui-pe-trong-dua-luoi.jpg HTTP/1.1" 404 191
66.249.82.164 - - [27/Feb/2021:05:30:13 +0000] "GET /dophyvn/images/thuoc-duong-hoa-long-life-13.jpg HTTP/1.1" 404 179
66.249.82.169 - - [27/Feb/2021:05:30:13 +0000] "GET /dophyvn/images/logo.jpg HTTP/1.1" 404 155
66.249.82.169 - - [27/Feb/2021:05:30:13 +0000] "GET /dophyvn/images/cart-hover.png HTTP/1.1" 404 161
66.249.82.169 - - [27/Feb/2021:05:30:13 +0000] "GET /dophyvn/images/dung%20dich%20thuy%20canh%20dang%20bot%20tc-mobi.jpg HTTP/1.1" 404 199
66.249.82.167 - - [27/Feb/2021:05:30:13 +0000] "GET /dophyvn/images/Hat%20giong%20ot%20cay.jpg HTTP/1.1" 404 173
66.249.82.167 - - [27/Feb/2021:05:30:13 +0000] "GET /dophyvn/images/b%C3%A1n-r%E1%BB%8D-th%E1%BB%A7y-canh-TC.HCM_.jpg HTTP/1.1" 404 196
66.249.82.164 - - [27/Feb/2021:05:30:13 +0000] "GET /dophyvn/images/hat%20giong%20rau%20cai%20thia%20cao%20san.jpg HTTP/1.1" 404 193
66.249.82.167 - - [27/Feb/2021:05:30:13 +0000] "GET /dophyvn/images/cart.png HTTP/1.1" 404 155
